Nom,Type_eau,Categorie_mineralisation,Gazeuse,Origine_geographique,Proprietaire,Annee_reconnaissance_officielle,pH,Conductivite_µS_cm,Residu_sec_180C_mg_L,Bicarbonates_mg_L,Calcium_mg_L,Magnesium_mg_L,Sodium_mg_L,Potassium_mg_L,Chlorures_mg_L,Sulfates_mg_L,Nitrates_mg_L,Fluorures_mg_L,Silice_mg_L,TFA_ng_L,PFOA_ng_L,PFOS_ng_L,Somme_PFAS_ng_L,Metabolites_pesticides_pertinents_µg_L,Metabolites_pesticides_non_pertinents_µg_L,Microplastiques_particules_L,Activite_alpha_globale_Bq_L,Activite_beta_globale_Bq_L,Tritium_Bq_L,DTI_mSv_an,Uranium_µg_L,Radon_222_Bq_L,Residus_medicamenteux_detection,Bisphenols_µg_L,Phtalates_µg_L,AJR_Calcium_pourcentage_1L,AJR_Magnesium_pourcentage_1L,Mentions_therapeutiques_validees,Contre_indications_medicales,Coefficient_variation_composition,Date_derniere_analyse,Laboratoire_controle,Stabilite_microbiologique,Type_conditionnement,Empreinte_carbone_kg_CO2_L,Empreinte_hydrique_L_eau_L_produit,Taux_recyclage_emballage_pourcentage,Conformite_EU_2008_100_CE,Conformite_ANSES_2025,Mentions_obligatoires_etiquetage,Restrictions_usage
Eau du robinet - Bordeaux Nouvelle-Aquitaine,Eau du robinet,Variable région (340 mg/L),Non,"Garonne, nappes - Gironde (33)",Bordeaux Métropole,Service public,7.6,352,340,267.7,65.0,12.0,18.0,5.8,36.5,27.9,28.0,1.84,27.3,352.1,8.5,3.0,20.7,0.1,0.81,3.6,0.082,0.22,14.5,0.014,0.22,10.9,Traces multiples,0.038,0.6,8.1,3.2,Aucune (eau du robinet),Aucune,25.7,2025-08-22,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Strasbourg Grand-Est,Eau du robinet,Variable région (480 mg/L),Non,Nappe phréatique Rhin - Bas-Rhin (67),Eurométropole de Strasbourg,Service public,7.4,516,480,413.6,105.0,18.0,15.0,5.8,27.0,45.4,20.0,0.53,20.7,533.7,4.0,2.6,24.3,0.084,0.86,3.3,0.08,0.19,4.8,0.005,0.25,69.8,Traces multiples,0.035,1.93,13.1,4.8,Aucune (eau du robinet),Aucune,28.0,2025-08-27,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Nice Côte d'Azur,Eau du robinet,Variable région (420 mg/L),Non,"Sources alpines, nappes - Alpes-Maritimes (06)",Métropole Nice Côte d'Azur,Service public,7.6,496,420,416.4,92.0,15.0,28.0,6.8,36.1,43.8,18.0,0.74,8.5,950.4,8.0,2.0,24.1,0.076,0.38,5.0,0.062,0.23,7.4,0.011,0.15,25.9,Traces multiples,0.008,0.34,11.5,4.0,Aucune (eau du robinet),Aucune,4.9,2025-07-06,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Montpellier Occitanie,Eau du robinet,Variable région (450 mg/L),Non,"Lez, nappes - Hérault (34)",Montpellier Méditerranée Métropole,Service public,7.7,578,450,463.7,98.0,22.0,35.0,6.8,52.5,45.8,28.0,0.52,37.8,795.9,9.1,1.5,14.5,0.058,0.39,2.7,0.021,0.1,20.9,0.015,0.23,53.4,Traces détectées,0.074,1.27,12.2,5.9,Aucune (eau du robinet),Aucune,3.2,2025-07-26,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Rennes Bretagne,Eau du robinet,Variable région (120 mg/L),Non,Rivières bretonnes - Ille-et-Vilaine (35),Rennes Métropole,Service public,6.9,129,120,131.8,12.0,3.0,22.0,5.7,30.4,14.4,42.0,0.96,24.6,1164.5,6.4,1.2,27.6,0.127,0.51,7.1,0.076,0.17,5.9,0.007,0.16,17.7,Traces multiples,0.057,1.36,1.5,0.8,Aucune (eau du robinet),Surveillance nitrates nourrissons,11.5,2025-07-01,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance nitrates nourrissons
Eau du robinet - Brest Finistère,Eau du robinet,Variable région (95 mg/L),Non,Rivières côtières bretonnes - Finistère (29),Brest Métropole,Service public,6.8,124,95,71.0,8.5,2.5,25.0,7.1,41.6,16.7,45.0,1.37,15.5,716.4,6.0,8.6,33.2,0.143,0.78,2.9,0.036,0.09,24.8,0.018,0.13,55.3,Traces multiples,0.055,1.41,1.1,0.7,Aucune (eau du robinet),Surveillance nitrates nourrissons,3.7,2025-07-18,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance nitrates nourrissons
Eau du robinet - Saint-Brieuc Côtes-d'Armor,Eau du robinet,Variable région (110 mg/L),Non,Rivières bretonnes - Côtes-d'Armor (22),Saint-Brieuc Armor Agglomération,Service public,7.0,165,110,140.4,15.0,4.0,28.0,5.2,44.4,24.2,38.0,0.7,14.6,469.1,6.3,6.9,20.0,0.062,0.66,4.7,0.019,0.14,22.2,0.013,0.25,53.0,Traces multiples,0.029,1.69,1.9,1.1,Aucune (eau du robinet),Surveillance nitrates nourrissons,34.9,2025-08-13,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme - Surveillance renforcée,Eau du robinet - Surveillance renforcée,Surveillance nitrates nourrissons
Eau du robinet - Clermont-Ferrand Auvergne,Eau du robinet,Variable région (250 mg/L),Non,Sources volcaniques Massif Central - Puy-de-Dôme (63),Clermont Auvergne Métropole,Service public,7.2,228,250,241.6,45.0,8.0,8.0,5.2,23.9,33.9,15.0,0.86,29.9,90.6,0.5,0.6,2.1,0.019,0.15,5.1,0.064,0.09,22.9,0.014,0.13,48.9,Non détecté,0.076,1.97,5.6,2.1,Aucune (eau du robinet),Aucune,14.9,2025-08-13,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Grenoble Alpes,Eau du robinet,Variable région (280 mg/L),Non,"Isère, sources alpines - Isère (38)",Grenoble-Alpes Métropole,Service public,7.4,321,280,330.3,68.0,12.0,5.0,3.8,20.1,35.1,12.0,1.85,13.8,178.1,1.4,0.7,3.2,0.057,0.26,5.5,0.023,0.16,17.3,0.012,0.14,32.0,Non détecté,0.049,1.88,8.5,3.2,Aucune (eau du robinet),Aucune,10.3,2025-08-14,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Eau du robinet - Chambéry Savoie,Eau du robinet,Variable région (320 mg/L),Non,Sources alpines - Savoie (73),Grand Chambéry,Service public,7.6,424,320,391.7,85.0,18.0,8.0,2.0,22.5,31.9,8.0,1.0,14.3,50.2,1.0,0.5,2.0,0.017,0.39,7.4,0.08,0.23,21.7,0.009,0.12,23.1,Non détecté,0.024,1.01,10.6,4.8,Aucune (eau du robinet),Aucune,16.4,2025-07-13,ARS régionale + Laboratoire agréé,Conforme avec chloration résiduelle,Distribution réseau public,0.001,1.0,0.0,Conforme,Conforme,Eau du robinet,Aucune
Perrier,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Oui,"Source des Bouillens, Vergèze, Gard (30)",Nestlé Waters France,1903,5.5,586,315,487.2,150.0,4.2,11.8,5.8,19.6,50.2,7.8,1.98,33.3,2386.2,26.0,15.0,52.0,0.198,1.09,2.1,0.016,0.08,2.1,0.005,0.34,79.9,Traces détectées,0.026,0.71,18.8,1.1,Selon composition minérale,Surveillance post-scandale Nestlé,11.0,2025-07-08,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.16,3.5,79.8,Conforme,Conforme sous surveillance renforcée,Eau minérale naturelle - Surveillance renforcée,Surveillance post-scandale Nestlé
Gerolsteiner Sprudel,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Oui,"Source volcanique Eifel, Gerolstein, Allemagne",Gerolsteiner Brunnen GmbH,1888,6.0,2202,2527,1533.0,348.0,108.0,118.0,16.2,149.8,106.7,0.8,0.62,33.4,183.3,1.4,0.8,2.8,0.011,0.51,3.7,0.024,0.19,11.1,0.006,0.2,27.4,Non détecté,0.022,0.16,43.5,28.8,Selon composition minérale,Aucune,24.4,2025-08-19,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.29,3.3,79.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Apollinaris,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Bad Neuenahr, Allemagne",Coca-Cola Europacific Partners,1852,5.8,1861,890,409.1,90.0,26.0,435.0,44.4,527.4,27.9,0.5,1.76,26.5,82.4,0.6,1.0,3.1,0.039,0.33,7.8,0.041,0.12,3.6,0.004,0.06,19.8,Non détecté,0.041,1.79,11.2,6.9,Selon composition minérale,Aucune,24.3,2025-08-16,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.27,2.1,64.5,Conforme,Conforme,Eau minérale naturelle,Aucune
